,Date,TemperatureDSNY,TemperatureCPER
168,2019-01-04 12:00:00+00:00,21.2529,5.3974
169,2019-01-04 12:30:00+00:00,21.4053,5.066
170,2019-01-04 13:00:00+00:00,21.6698,5.7496
171,2019-01-04 13:30:00+00:00,22.0246,5.6344
172,2019-01-04 14:00:00+00:00,22.5118,4.4793
173,2019-01-04 14:30:00+00:00,23.4078,2.8316
174,2019-01-04 15:00:00+00:00,23.982,4.6115
175,2019-01-04 15:30:00+00:00,24.7815,4.9053
176,2019-01-04 16:00:00+00:00,25.2996,7.3166
177,2019-01-04 16:30:00+00:00,25.7434,8.224
178,2019-01-04 17:00:00+00:00,26.1536,8.5561
179,2019-01-04 17:30:00+00:00,26.888,9.7421
180,2019-01-04 18:00:00+00:00,27.0674,11.081
181,2019-01-04 18:30:00+00:00,27.314,12.1473
182,2019-01-04 19:00:00+00:00,27.7722,12.8224
183,2019-01-04 19:30:00+00:00,28.0943,13.5797
184,2019-01-04 20:00:00+00:00,27.7483,14.0107
185,2019-01-04 20:30:00+00:00,27.5923,14.1145
186,2019-01-04 21:00:00+00:00,27.2693,13.9372
187,2019-01-04 21:30:00+00:00,26.7799,13.5459
188,2019-01-04 22:00:00+00:00,26.3366,13.1136
189,2019-01-04 22:30:00+00:00,23.3951,12.3754
190,2019-01-04 23:00:00+00:00,21.0034,11.2343
191,2019-01-04 23:30:00+00:00,19.0707,10.011
192,2019-01-05 00:00:00+00:00,18.7092,7.4803
193,2019-01-05 00:30:00+00:00,18.8289,7.5254
194,2019-01-05 01:00:00+00:00,18.9148,7.1706
195,2019-01-05 01:30:00+00:00,18.8859,6.7479
196,2019-01-05 02:00:00+00:00,18.8493,5.5356
197,2019-01-05 02:30:00+00:00,19.0517,6.5994
198,2019-01-05 03:00:00+00:00,19.1913,5.9688
199,2019-01-05 03:30:00+00:00,18.7164,6.1297
200,2019-01-05 04:00:00+00:00,18.2458,6.6327
201,2019-01-05 04:30:00+00:00,17.9143,4.195
202,2019-01-05 05:00:00+00:00,17.9672,5.3542
203,2019-01-05 05:30:00+00:00,17.7551,3.7144
204,2019-01-05 06:00:00+00:00,17.7379,5.5538
205,2019-01-05 06:30:00+00:00,17.7334,5.1233
206,2019-01-05 07:00:00+00:00,17.8702,5.6086
207,2019-01-05 07:30:00+00:00,17.6612,4.3026
208,2019-01-05 08:00:00+00:00,17.51,3.9438
209,2019-01-05 08:30:00+00:00,17.2943,4.1065
210,2019-01-05 09:00:00+00:00,17.0507,2.5459
211,2019-01-05 09:30:00+00:00,16.6969,3.7855
212,2019-01-05 10:00:00+00:00,16.5177,3.4159
213,2019-01-05 10:30:00+00:00,16.4195,3.4723
214,2019-01-05 11:00:00+00:00,16.5121,1.845
215,2019-01-05 11:30:00+00:00,16.1081,2.2304
216,2019-01-05 12:00:00+00:00,15.6496,1.8968
217,2019-01-05 12:30:00+00:00,15.875,1.7783
218,2019-01-05 13:00:00+00:00,16.1961,3.8581
219,2019-01-05 13:30:00+00:00,17.0517,4.0424
220,2019-01-05 14:00:00+00:00,17.9382,3.4068
221,2019-01-05 14:30:00+00:00,18.3973,2.5802
222,2019-01-05 15:00:00+00:00,18.9487,2.8459
223,2019-01-05 15:30:00+00:00,18.9735,4.0815
224,2019-01-05 16:00:00+00:00,18.6892,8.0911
225,2019-01-05 16:30:00+00:00,18.9551,10.3296
226,2019-01-05 17:00:00+00:00,19.6248,11.0255
227,2019-01-05 17:30:00+00:00,19.7027,11.939
228,2019-01-05 18:00:00+00:00,19.8823,12.803
229,2019-01-05 18:30:00+00:00,19.7562,13.2547
230,2019-01-05 19:00:00+00:00,19.6985,13.7937
231,2019-01-05 19:30:00+00:00,19.8128,13.8324
232,2019-01-05 20:00:00+00:00,19.6577,13.8407
233,2019-01-05 20:30:00+00:00,19.4009,13.6164
234,2019-01-05 21:00:00+00:00,18.6975,12.8154
235,2019-01-05 21:30:00+00:00,18.0683,12.2344
236,2019-01-05 22:00:00+00:00,17.18,11.8846
237,2019-01-05 22:30:00+00:00,16.1453,10.7884
238,2019-01-05 23:00:00+00:00,15.2898,9.3498
239,2019-01-05 23:30:00+00:00,14.5448,8.4727
240,2019-01-06 00:00:00+00:00,13.863,7.9239
241,2019-01-06 00:30:00+00:00,13.315,7.2903
242,2019-01-06 01:00:00+00:00,12.799,7.4115
243,2019-01-06 01:30:00+00:00,12.3386,7.2955
244,2019-01-06 02:00:00+00:00,11.8481,7.2121
245,2019-01-06 02:30:00+00:00,11.5143,7.289
246,2019-01-06 03:00:00+00:00,11.288,7.3649
247,2019-01-06 03:30:00+00:00,11.0415,6.5025
248,2019-01-06 04:00:00+00:00,10.8395,6.0209
249,2019-01-06 04:30:00+00:00,10.7976,6.1822
250,2019-01-06 05:00:00+00:00,10.742,5.7465
251,2019-01-06 05:30:00+00:00,10.9871,5.7225
252,2019-01-06 06:00:00+00:00,11.1148,4.9579
253,2019-01-06 06:30:00+00:00,10.8102,4.3832
254,2019-01-06 07:00:00+00:00,10.3013,3.727
255,2019-01-06 07:30:00+00:00,10.0192,3.3903
256,2019-01-06 08:00:00+00:00,9.5768,3.7337
257,2019-01-06 08:30:00+00:00,9.393,3.4663
258,2019-01-06 09:00:00+00:00,9.0881,2.9783
259,2019-01-06 09:30:00+00:00,9.0389,3.3475
260,2019-01-06 10:00:00+00:00,9.2411,1.7365
261,2019-01-06 10:30:00+00:00,9.0592,2.0347
262,2019-01-06 11:00:00+00:00,8.9779,2.3665
263,2019-01-06 11:30:00+00:00,8.6406,2.4311
264,2019-01-06 12:00:00+00:00,8.7802,2.6544
265,2019-01-06 12:30:00+00:00,8.6892,0.4415
266,2019-01-06 13:00:00+00:00,9.6666,1.0048
267,2019-01-06 13:30:00+00:00,10.9378,0.9882
268,2019-01-06 14:00:00+00:00,12.5659,2.1106
269,2019-01-06 14:30:00+00:00,14.1434,1.364
270,2019-01-06 15:00:00+00:00,15.1374,1.6347
271,2019-01-06 15:30:00+00:00,16.2199,3.2454
272,2019-01-06 16:00:00+00:00,17.1739,3.4788
273,2019-01-06 16:30:00+00:00,17.7315,3.7134
274,2019-01-06 17:00:00+00:00,18.2817,5.2185
275,2019-01-06 17:30:00+00:00,18.6357,8.3612
276,2019-01-06 18:00:00+00:00,19.1267,11.0391
277,2019-01-06 18:30:00+00:00,19.622,11.5841
278,2019-01-06 19:00:00+00:00,20.4444,9.6336
279,2019-01-06 19:30:00+00:00,20.8274,11.1502
280,2019-01-06 20:00:00+00:00,20.7548,11.0947
281,2019-01-06 20:30:00+00:00,20.8741,11.0029
282,2019-01-06 21:00:00+00:00,21.0278,10.3685
283,2019-01-06 21:30:00+00:00,20.8002,11.0804
284,2019-01-06 22:00:00+00:00,20.3233,10.944
285,2019-01-06 22:30:00+00:00,19.4652,10.5953
286,2019-01-06 23:00:00+00:00,18.0733,9.4566
287,2019-01-06 23:30:00+00:00,16.5041,7.1516
288,2019-01-07 00:00:00+00:00,15.6511,6.096
289,2019-01-07 00:30:00+00:00,16.8926,4.9586
290,2019-01-07 01:00:00+00:00,16.372,4.6204
291,2019-01-07 01:30:00+00:00,15.1585,3.9274
292,2019-01-07 02:00:00+00:00,14.2853,1.0693
293,2019-01-07 02:30:00+00:00,15.0139,0.9056
294,2019-01-07 03:00:00+00:00,15.164,2.2778
295,2019-01-07 03:30:00+00:00,15.2698,3.2674
296,2019-01-07 04:00:00+00:00,15.0438,2.5454
297,2019-01-07 04:30:00+00:00,14.2248,2.1643
298,2019-01-07 05:00:00+00:00,13.8508,1.5081
299,2019-01-07 05:30:00+00:00,13.4065,1.1183
300,2019-01-07 06:00:00+00:00,13.317,0.6458
301,2019-01-07 06:30:00+00:00,13.0479,0.2721
302,2019-01-07 07:00:00+00:00,12.8991,0.5916
303,2019-01-07 07:30:00+00:00,12.8087,0.0311
304,2019-01-07 08:00:00+00:00,13.1917,0.1328
305,2019-01-07 08:30:00+00:00,13.8117,0.103
306,2019-01-07 09:00:00+00:00,13.3628,-0.1513
307,2019-01-07 09:30:00+00:00,13.4015,-0.2202
308,2019-01-07 10:00:00+00:00,13.2401,-0.8293
309,2019-01-07 10:30:00+00:00,12.9181,-2.1053
310,2019-01-07 11:00:00+00:00,12.8047,-1.5303
311,2019-01-07 11:30:00+00:00,13.0349,-1.3663
312,2019-01-07 12:00:00+00:00,13.4039,-1.3039
313,2019-01-07 12:30:00+00:00,13.8672,0.6686
314,2019-01-07 13:00:00+00:00,15.0087,-2.6284
315,2019-01-07 13:30:00+00:00,16.6986,-0.2535
316,2019-01-07 14:00:00+00:00,17.8977,-0.5844
317,2019-01-07 14:30:00+00:00,18.7733,-1.0677
318,2019-01-07 15:00:00+00:00,20.4227,-0.7477
319,2019-01-07 15:30:00+00:00,21.3008,0.099
320,2019-01-07 16:00:00+00:00,22.139,2.5206
321,2019-01-07 16:30:00+00:00,22.5842,3.2988
322,2019-01-07 17:00:00+00:00,23.0138,4.7582
323,2019-01-07 17:30:00+00:00,23.0654,7.4297
324,2019-01-07 18:00:00+00:00,23.7583,7.9294
325,2019-01-07 18:30:00+00:00,24.0807,7.7823
326,2019-01-07 19:00:00+00:00,24.687,8.0006
327,2019-01-07 19:30:00+00:00,24.8112,7.7591
328,2019-01-07 20:00:00+00:00,25.053,7.6576
329,2019-01-07 20:30:00+00:00,25.0015,8.2874
330,2019-01-07 21:00:00+00:00,24.8804,8.0339
331,2019-01-07 21:30:00+00:00,24.349,7.8687
332,2019-01-07 22:00:00+00:00,24.0721,7.2204
333,2019-01-07 22:30:00+00:00,23.0638,6.6982
334,2019-01-07 23:00:00+00:00,22.0777,6.1504
335,2019-01-07 23:30:00+00:00,21.444,4.4641
336,2019-01-08 00:00:00+00:00,20.5475,3.5469
337,2019-01-08 00:30:00+00:00,19.9865,3.8044
338,2019-01-08 01:00:00+00:00,19.5772,3.4205
339,2019-01-08 01:30:00+00:00,19.3912,2.3585
340,2019-01-08 02:00:00+00:00,19.3536,2.1182
341,2019-01-08 02:30:00+00:00,19.017,1.795
342,2019-01-08 03:00:00+00:00,18.6133,1.6364
343,2019-01-08 03:30:00+00:00,17.5606,1.5658
344,2019-01-08 04:00:00+00:00,17.1175,1.3604
345,2019-01-08 04:30:00+00:00,16.3243,1.2879
346,2019-01-08 05:00:00+00:00,16.6584,1.4588
347,2019-01-08 05:30:00+00:00,15.9903,1.5442
348,2019-01-08 06:00:00+00:00,15.9195,1.5268
349,2019-01-08 06:30:00+00:00,15.524,0.8876
350,2019-01-08 07:00:00+00:00,15.1281,0.7198
351,2019-01-08 07:30:00+00:00,15.0502,1.3962
352,2019-01-08 08:00:00+00:00,14.4905,1.3859
353,2019-01-08 08:30:00+00:00,14.3205,2.4753
354,2019-01-08 09:00:00+00:00,14.0352,2.2524
355,2019-01-08 09:30:00+00:00,13.6045,3.6271
356,2019-01-08 10:00:00+00:00,13.352,0.2033
357,2019-01-08 10:30:00+00:00,13.497,-4.3092
358,2019-01-08 11:00:00+00:00,13.1145,-5.0809
359,2019-01-08 11:30:00+00:00,13.2013,-5.0186
