,date,birdName,count
402,2016-06-12,Belted Kingfisher,0
403,2016-06-12,Black-and-white Warbler,0
404,2016-06-12,Black-throated Blue Warbler,0
405,2016-06-12,Black-throated Green Warbler,22
406,2016-06-12,Blue Jay,5
407,2016-06-12,Blue-gray Gnatcatcher,1
408,2016-06-12,Blue-headed Vireo,5
409,2016-06-12,Broad-winged Hawk,0
410,2016-06-12,Brown Thrasher,0
411,2016-06-12,Brown-headed Cowbird,0
412,2016-06-12,Carolina Chickadee,5
413,2016-06-12,Carolina Wren,8
414,2016-06-12,Cedar Waxwing,0
415,2016-06-12,Chimney Swift,0
416,2016-06-12,Chipping Sparrow,0
417,2016-06-12,Common Grackle,0
418,2016-06-12,Dark-eyed Junco,0
419,2016-06-12,Downy Woodpecker,0
420,2016-06-12,Eastern Bluebird,0
421,2016-06-12,Eastern Phoebe,1
422,2016-06-12,Eastern Screech-Owl,0
423,2016-06-12,Eastern Towhee,0
424,2016-06-12,Eastern Wood-Pewee,0
425,2016-06-12,Field Sparrow,0
426,2016-06-12,Golden-crowned Kinglet,0
427,2016-06-12,Great Blue Heron,0
428,2016-06-12,Great Crested Flycatcher,0
429,2016-06-12,Hairy Woodpecker,3
430,2016-06-12,Hooded Warbler,3
431,2016-06-12,Indigo Bunting,4
432,2016-06-12,Kentucky Warbler,0
433,2016-06-12,Louisiana Waterthrush,5
434,2016-06-12,Mourning Dove,0
435,2016-06-12,Northern Cardinal,4
436,2016-06-12,Northern Flicker,0
437,2016-06-12,Northern Parula,3
438,2016-06-12,Ovenbird,10
439,2016-06-12,Pileated Woodpecker,4
440,2016-06-12,Pine Warbler,0
441,2016-06-12,Red Crossbill,0
442,2016-06-12,Red-bellied Woodpecker,1
443,2016-06-12,Red-breasted Nuthatch,0
444,2016-06-12,Red-eyed Vireo,19
445,2016-06-12,Red-tailed Hawk,0
446,2016-06-12,Ruby-throated Hummingbird,0
447,2016-06-12,Ruffed Grouse,0
448,2016-06-12,Scarlet Tanager,2
449,2016-06-12,Summer Tanager,0
450,2016-06-12,Swainson's Thrush,0
451,2016-06-12,Tufted Titmouse,5
452,2016-06-12,Unknown Nuthatch,0
453,2016-06-12,Unknown Tanager,0
454,2016-06-12,White-breasted Nuthatch,0
455,2016-06-12,White-eyed Vireo,0
456,2016-06-12,Wild Turkey,0
457,2016-06-12,Wood Thrush,0
458,2016-06-12,Worm-eating Warbler,3
459,2016-06-12,Yellow-billed Cuckoo,0
460,2016-06-12,Yellow-throated Vireo,0
461,2016-06-12,Yellow-throated Warbler,0
462,2016-06-13,Acadian Flycatcher,1
463,2016-06-13,American Crow,3
464,2016-06-13,American Goldfinch,0
465,2016-06-13,American Robin,0
466,2016-06-13,American Woodcock,0
467,2016-06-13,Barred Owl,0
468,2016-06-13,Belted Kingfisher,0
469,2016-06-13,Black-and-white Warbler,3
470,2016-06-13,Black-throated Blue Warbler,0
471,2016-06-13,Black-throated Green Warbler,3
472,2016-06-13,Blue Jay,4
473,2016-06-13,Blue-gray Gnatcatcher,2
474,2016-06-13,Blue-headed Vireo,2
475,2016-06-13,Broad-winged Hawk,1
476,2016-06-13,Brown Thrasher,0
477,2016-06-13,Brown-headed Cowbird,0
478,2016-06-13,Carolina Chickadee,2
479,2016-06-13,Carolina Wren,1
480,2016-06-13,Cedar Waxwing,0
481,2016-06-13,Chimney Swift,0
482,2016-06-13,Chipping Sparrow,0
483,2016-06-13,Common Grackle,0
484,2016-06-13,Dark-eyed Junco,0
485,2016-06-13,Downy Woodpecker,1
486,2016-06-13,Eastern Bluebird,0
487,2016-06-13,Eastern Phoebe,0
488,2016-06-13,Eastern Screech-Owl,1
489,2016-06-13,Eastern Towhee,1
490,2016-06-13,Eastern Wood-Pewee,0
491,2016-06-13,Field Sparrow,0
492,2016-06-13,Golden-crowned Kinglet,0
493,2016-06-13,Great Blue Heron,0
494,2016-06-13,Great Crested Flycatcher,0
495,2016-06-13,Hairy Woodpecker,0
496,2016-06-13,Hooded Warbler,3
497,2016-06-13,Indigo Bunting,0
498,2016-06-13,Kentucky Warbler,0
499,2016-06-13,Louisiana Waterthrush,0
500,2016-06-13,Mourning Dove,0
501,2016-06-13,Northern Cardinal,0
502,2016-06-13,Northern Flicker,0
503,2016-06-13,Northern Parula,4
504,2016-06-13,Ovenbird,7
505,2016-06-13,Pileated Woodpecker,4
506,2016-06-13,Pine Warbler,0
507,2016-06-13,Red Crossbill,0
508,2016-06-13,Red-bellied Woodpecker,2
